Название,Что за проект (краткое описание),Направление,Откуда лид,Способ оплаты,Формат работы,NDA,Сумма услуг,Дата договора,Дата запуска,Дедлайн,KPI план (мес),"KPI факт
Каждую неделю",Расход на проект в мес (факт),Статус проекта,Спец проекта,Контролирует,Новогодние паузы по почтам,Комментарий от Эльвиры,Комментарий от Ани,Задачи на неделю,"совет, что улучшить",Полные условия по договору,,amoCRM,,,
Проекты тестовые,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Cats,QA,Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,79000,21.7.25,16.10.25,15.11.25,без КПИ,7,,На паузе,Анастасия Фрил,Эльвира,,пауза 15,,,,,FALSE,,,,
Software Cats,Devops,Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,79000,31.10.25,27.11.25,8.2.26,без КПИ,1,,На паузе,Анастасия Фрил,Эльвира,,ок,,,,,FALSE,,,,
int-ing (b2b leads),аудиовизуальное оборудование,Ру,Трафик наш,Оплата 100%,Тест (без кпи),,79000,18.8.25,27.10.25,26/10,без кпи,12,,На паузе,Анна фрил,Эльвира,,пинганула,,отчет + передать проект спецу + сделать анализ + пройти 2000 контактов,,,FALSE,,,,
Южный регион (Армикт),Услуги в области трудового законодательства.,Ру,Партнер Колди,Оплата 100%,Тест (до 5 лидов),,79000,,19.9.25,19.10.25,11,6,,Тест,Анна фрил,Эльвира,,написать по поводу лидов,аи сканер по аномалии попробовать,"изучить проект, нащупать боли ЦА, сезонность, если сейчас не сезон, давайте поставим на паузу и продолжим в январе",,,FALSE,,,,
https://robosculptor.co/ ,производитель аппаратов для неинвазивной коррекции фигуры,Eng,Рекомендации,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,201236,29.8.25,6.10.25,5.12.25,6,12,5525,Тест,Анастасия Фрил,Максим,17.12.2025 - 18 декабря 5 почт,Пятница 11:00,18,,,,FALSE,,,,
Onescreen.tech,"Онлайн-сервис для построения кастомных Power BI-дашбордов для ecommerce
",Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,79000,10.9.25,28.10.25,27.11.25,без кпи,12 + 11 потенциальных,0,На паузе,Александр фрил,Эльвира,16 December,в среду пингануть,,звонок не ответили,,,FALSE,,,,
Эфикс Груп,Поиск и подбор персонала,Ру,Аутрич наш,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,19.9.25,2.10.25,2.12.25,8,7,,Тест,Ксюша фрил,Максим,25 December,"Без изменений, базы хх брать, домучать 2 лида",18,,,,FALSE,,,,
Электроника,системы управления безопасностью,Ру,Аутрич наш,Оплата 100%,Тест (до 5 лидов),,79000,правки,6.10.25,5.11.25,5,1,879,Тест,Анастасия Фрил,Эльвира,25 December,предложила паузу,,,,,FALSE,,,,
IFT,оборудование для майнинга биткоина,Ру,Тильда,Оплата 100%,Платный период (кпи),,149000,26.8.25,22.10.25,22.12.25,кпи с 3 нояб,3,250,Тест,Эльвира,Эльвира,19 December,запустила 5 кампаний,,сделать 2 запуска и проверить почту,,,FALSE,,,,
BelBerry,маркетинг в медицинской тематитке,Ру,Аутрич наш,Оплата 100%,Первый запуск (3 месяца),,215000,29.9.25,15.10.25,27.1.25,27,11,,На паузе,Анастасия Фрил,Максим,02.01.2025 (в января отключить) - 16 декабря,пауза,18,,,,FALSE,,,,
IT-Agency (NDA),Маркетинговое агентство,Ру,Аутрич наш,Оплата 100%,Тест (без кпи),,79000,26.9.25,13.10.25,12.11.25,,0.5,,На паузе,Анастасия Фрил,Эльвира,25.12.2025 и 1 января,,,оффер под сео написать и будет база маркетологов и сео специалистов,,,FALSE,,,,
ALP ITSM,"сервисная ИТ-компания, аутсорсинговая",Ру,Рекомендации,Оплата 100%,"Первый запуск (2 мес работы, мин 10 лидов)",,149000,,28.10.25,27.12.25,нет,1,500,На паузе,Ксюша фрил,Максим,16 December,Пауза,18,,,,FALSE,,,,
TouchPay,платежный сервис,Ру,Партнер Колди,Оплата 100%,Тест (до 5 лидов),,79000,13.10.25,22.10.25,21.11.25,,"8+6(просил отправить тех, кто скинул номер тел. без КП)",,На паузе,Ксюша фрил,Эльвира,16 December,пинг во вторник,,"позвала на звонок, пока нет ответа от Даниила",,,FALSE,,,,
Кадры онлайн,Подбор персонала,Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,150000,16.10.25,29.10.25,28.11.25,20,21,0,Тест,Дмитрий фрил,Максим,22 December,Среда 15:00 итоговый,,,,,FALSE,,,,
Jmix,разработка вэб-приложений на Java,Ру,Тильда,Оплата 100%,Тест (без кпи),,79000,16.10.25,5.11.25,5.12.25,,2.5,250,На паузе,Сергей фрил,Эльвира,22 December,Можно сделать персонализацию по имени гендиректора,,,,,FALSE,,,,
