company,inn
"ООО ""МАМРУКО""",0103001599
"ЗАО ""МОЛКОМБИНАТ ""АДЫГЕЙСКИЙ""",0105003182
"ПАО ""ЗАРЕМ""",0105000819
"ООО ""СПЕКТР""",0257005755
"АО ""САЛАВАТНЕФТЕМАШ""",0266017771
"АО ""БШПУ""",0267005730
"АО ""ОБЩЕПИТ""",0268003140
"ООО НПП ""БАСЭТ""",0269001177
"ОАО ""ТУЙМАЗЫТЕХУГЛЕРОД""",0269007820
"ООО ""КБК""",0269018406
"ООО ""МАШЗАВОД ""РИВС""",0270012769
"ООО ""МЕДСТАЛЬКОНСТРУКЦИЯ""",0277046598
"ООО ""УФИМСКАЯ ГИПСОВАЯ КОМПАНИЯ""",0273037634
"АО ""УМКК""",0273010086
"ООО ""НВП ""БАШИНКОМ""",0274010931
"ООО ""КОРПОРАЦИЯ УРАЛТЕХНОСТРОЙ""",0275022471
"ООО ""БЭСК ИНЖИНИРИНГ""",0275038560
"ООО ""БАС""",0277039262
"ООО ""ПОЛЕКС УРАЛ""",0278076764
"АО ""УМ ВНЗМ""",0277028101
"АО ""ОЗНХ""",0277025397
"АО НПФ ""ГЕОФИЗИКА""",0278012129
"АО ""БХП""",0323022315
"ООО ПП ""КИЗЛЯР""",0517009514
"АО ""МОСТООТРЯД-99""",0536005963
"АО ""ДКК""",0542003065
"ООО ""СТРОЙГАЗКОМПЛЕКТ""",0601003655
"ООО ""ЧЕРКЕССКСТРОМ""",0901013630
"ООО ""ФХ""ФИРМА САТУРН""",0903000428
"ЗАО ""ИЗВЕСТНЯК"" ДЖЕГОНАССКИЙ КАРЬЕР",0909000671
"ОАО ""ХАБЕЗСКИЙ ГИПСОВЫЙ ЗАВОД""",0910003701
"АО ""СЗ ""КСМ""",1001000982
"ООО ФИРМА ""ТОРГОВЫЙ ДОМ ЯРМАРКА""",1001085270
"АО ""СЛАВМО""",1001004472
"ООО ""ПСК СТРОИТЕЛЬ""",1020001533
"АО ""СЫКТЫВКАРПИВО""",1101300531
"ООО ""КОМИТЕКС ЛИН""",1101034833
"АО ""УЭМЗ""",1102004944
"ООО ""НЕФТЕДОРСТРОЙ""",1106007819
"АО ""ШЕЛАНГЕРСКИЙ ХИМЗАВОД ""САЙВЕР""",1203000093
"ЗАО ""ПОРТАЛ""",1215062834
"АО ""ЗАВОД ИСКОЖ""",1215009090
"АО ""ОКТБ КРИСТАЛЛ""",1215027942
"ООО ""ИНВЕСТФОРЭСТ""",1215073709
"ЗАО СКБ ""ХРОМАТЭК""",1215032212
"ООО ""ИНТЕКРОН""",1215054488
"ЗАО ""КЗМИ""",1207004557
"ЗАО ""АРИАДА""",1216002002
"ОАО ""АПО ЭЛЕКОМ""",1316105019
"АО ""КОНСЕРВНЫЙ ЗАВОД ""САРАНСКИЙ""",1326026310
"АО ""СТАНКОСТРОИТЕЛЬ""",1327039569
"ПАО ""СЗ""САРАНСКИЙ ДСК""",1327048147
"ООО ""ХОТУ - АС""",1435076575
"ООО ""ДА""",1501024614
